,v1,v2,v3,v4,zr,a,ndt1,ndt2,ndt3,ndt4,sndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,0.8514618745001787,-0.6206922903496112,-0.6509061761014556,-0.3470936414450702,0.23557281956685158,0.0018638269439953243,0.03879077994205295,0.13344885811265172,0.13722059288654936,-0.4571040611905793,0.4453486821908553,-0.16012099204609853,0.40412765994223127,0.6652693343612014
v2,0.8514618745001787,,-0.6430229658189386,-0.647434377571482,-0.39055163241446805,0.3739627839075862,-0.03069168720087397,0.09782911407872562,0.13444394583926392,0.14661034220822924,-0.5660191299548544,0.49282114377323827,-0.033035705989839285,0.4669828381298614,0.75924753609869
v3,-0.6206922903496112,-0.6430229658189386,,0.8240053284217246,-0.10042964788507823,-0.22997104945781704,-0.0687192222343196,-0.20228054900783335,-0.1329789397776348,-0.07001809957411127,0.44427835306388436,-0.3809970963166774,0.13082692673259588,-0.39272518607078644,-0.6450437123098262
v4,-0.6509061761014556,-0.647434377571482,0.8240053284217246,,-0.10364472790576175,-0.27394821685844056,-0.0716795048855291,-0.20390163404904726,-0.05853422202194965,-0.16364953956002054,0.3517704664299939,-0.36427368397424853,0.10278955375193109,-0.37063203615224966,-0.669214971152048
zr,-0.3470936414450702,-0.39055163241446805,-0.10042964788507823,-0.10364472790576175,,-0.20306437292874158,0.07165872794116201,0.11684280488921484,-0.18404278862187637,-0.21069521635259394,0.27459673167860327,-0.3825253701450164,-0.13657924032819915,-0.3581516658705416,-0.23991880490995288
a,0.23557281956685158,0.3739627839075862,-0.22997104945781704,-0.27394821685844056,-0.20306437292874158,,0.19351307642170032,0.1942658356598345,0.33231286532296017,0.35077951903710725,-0.39581204544573473,0.6660050172560239,0.792497991161187,0.7231307467179087,0.8117320135338102
ndt1,0.0018638269439953243,-0.03069168720087397,-0.0687192222343196,-0.0716795048855291,0.07165872794116201,0.19351307642170032,,0.8943493345144707,0.7888707380389249,0.77005598586721,0.2607645401945151,0.12459383471454692,0.518976697682674,0.06593556500434922,0.09428615765834976
ndt2,0.03879077994205295,0.09782911407872562,-0.20228054900783335,-0.20390163404904726,0.11684280488921484,0.1942658356598345,0.8943493345144707,,0.7680482598392004,0.7340477703092122,0.2092000992946612,0.10945640995237903,0.5329062176234476,0.06484688835253609,0.19156019279651335
ndt3,0.13344885811265172,0.13444394583926392,-0.1329789397776348,-0.05853422202194965,-0.18404278862187637,0.33231286532296017,0.7888707380389249,0.7680482598392004,,0.9124706273950672,0.07237803706910494,0.25198187258798105,0.6431076011835775,0.23759048555939438,0.25294679252729
ndt4,0.13722059288654936,0.14661034220822924,-0.07001809957411127,-0.16364953956002054,-0.21069521635259394,0.35077951903710725,0.77005598586721,0.7340477703092122,0.9124706273950672,,0.09205555836590593,0.2918121590204655,0.6468290257552791,0.2806320584549971,0.27894243980466477
sndt,-0.4571040611905793,-0.5660191299548544,0.44427835306388436,0.3517704664299939,0.27459673167860327,-0.39581204544573473,0.2607645401945151,0.2092000992946612,0.07237803706910494,0.09205555836590593,,-0.483720629919639,-0.025443712668548266,-0.5374715726992874,-0.5860097603548918
alpha,0.4453486821908553,0.49282114377323827,-0.3809970963166774,-0.36427368397424853,-0.3825253701450164,0.6660050172560239,0.12459383471454692,0.10945640995237903,0.25198187258798105,0.2918121590204655,-0.483720629919639,,0.4039473477832281,0.9546423202832183,0.7010600666918029
mean_log_rt,-0.16012099204609853,-0.033035705989839285,0.13082692673259588,0.10278955375193109,-0.13657924032819915,0.792497991161187,0.518976697682674,0.5329062176234476,0.6431076011835775,0.6468290257552791,-0.025443712668548266,0.4039473477832281,,0.4490217411801054,0.4078156327219127
alpha_arc_box,0.40412765994223127,0.4669828381298614,-0.39272518607078644,-0.37063203615224966,-0.3581516658705416,0.7231307467179087,0.06593556500434922,0.06484688835253609,0.23759048555939438,0.2806320584549971,-0.5374715726992874,0.9546423202832183,0.4490217411801054,,0.752213841197221
acc_arc_box,0.6652693343612014,0.75924753609869,-0.6450437123098262,-0.669214971152048,-0.23991880490995288,0.8117320135338102,0.09428615765834976,0.19156019279651335,0.25294679252729,0.27894243980466477,-0.5860097603548918,0.7010600666918029,0.4078156327219127,0.752213841197221,
