v1,v2,v3,v4,zr,a,ndt1,ndt2,ndt3,ndt4,sndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
1.0,0.883,-0.722,-0.709,-0.388,0.188,0.031,0.069,0.15,0.135,-0.399,0.487,-0.207,0.441,0.668
0.883,1.0,-0.726,-0.658,-0.44,0.377,0.036,0.094,0.159,0.163,-0.448,0.616,-0.034,0.555,0.781
-0.722,-0.726,1.0,0.888,0.073,-0.247,-0.151,-0.222,-0.212,-0.167,0.32,-0.457,0.136,-0.447,-0.692
-0.709,-0.658,0.888,1.0,0.068,-0.207,-0.134,-0.194,-0.153,-0.198,0.332,-0.439,0.137,-0.429,-0.649
-0.388,-0.44,0.073,0.068,1.0,-0.27,0.045,0.031,-0.264,-0.283,0.158,-0.47,-0.174,-0.409,-0.397
0.188,0.377,-0.247,-0.207,-0.27,1.0,0.173,0.194,0.325,0.385,-0.356,0.711,0.839,0.745,0.795
0.031,0.036,-0.151,-0.134,0.045,0.173,1.0,0.911,0.783,0.771,0.125,0.266,0.466,0.209,0.147
0.069,0.094,-0.222,-0.194,0.031,0.194,0.911,1.0,0.825,0.782,0.068,0.216,0.518,0.213,0.193
0.15,0.159,-0.212,-0.153,-0.264,0.325,0.783,0.825,1.0,0.949,0.085,0.447,0.625,0.353,0.338
0.135,0.163,-0.167,-0.198,-0.283,0.385,0.771,0.782,0.949,1.0,0.043,0.478,0.637,0.398,0.378
-0.399,-0.448,0.32,0.332,0.158,-0.356,0.125,0.068,0.085,0.043,1.0,-0.489,-0.022,-0.575,-0.507
0.487,0.616,-0.457,-0.439,-0.47,0.711,0.266,0.216,0.447,0.478,-0.489,1.0,0.465,0.956,0.797
-0.207,-0.034,0.136,0.137,-0.174,0.839,0.466,0.518,0.625,0.637,-0.022,0.465,1.0,0.496,0.447
0.441,0.555,-0.447,-0.429,-0.409,0.745,0.209,0.213,0.353,0.398,-0.575,0.956,0.496,1.0,0.823
0.668,0.781,-0.692,-0.649,-0.397,0.795,0.147,0.193,0.338,0.378,-0.507,0.797,0.447,0.823,1.0
