,par,v1,v2,v3,v4,zr,a,ndt1,ndt2,ndt3,ndt4,sndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
0,v1,1.0,0.831,-0.587,-0.612,-0.41,0.162,0.01,0.012,0.136,0.118,-0.361,0.402,-0.209,0.371,0.628
1,v2,0.831,1.0,-0.615,-0.599,-0.455,0.338,-0.036,0.067,0.17,0.156,-0.417,0.501,-0.048,0.477,0.745
2,v3,-0.587,-0.615,1.0,0.838,-0.02,-0.201,-0.055,-0.155,-0.131,-0.073,0.314,-0.367,0.145,-0.364,-0.646
3,v4,-0.612,-0.599,0.838,1.0,-0.057,-0.2,-0.046,-0.146,-0.048,-0.14,0.269,-0.33,0.173,-0.338,-0.624
4,zr,-0.41,-0.455,-0.02,-0.057,1.0,-0.229,0.041,0.083,-0.316,-0.324,0.181,-0.417,-0.158,-0.406,-0.331
5,a,0.162,0.338,-0.201,-0.2,-0.229,1.0,0.154,0.156,0.316,0.325,-0.325,0.657,0.817,0.709,0.783
6,ndt1,0.01,-0.036,-0.055,-0.046,0.041,0.154,1.0,0.893,0.749,0.742,0.219,0.14,0.481,0.104,0.075
7,ndt2,0.012,0.067,-0.155,-0.146,0.083,0.156,0.893,1.0,0.73,0.705,0.221,0.13,0.477,0.089,0.131
8,ndt3,0.136,0.17,-0.131,-0.048,-0.316,0.316,0.749,0.73,1.0,0.908,0.122,0.347,0.621,0.305,0.281
9,ndt4,0.118,0.156,-0.073,-0.14,-0.324,0.325,0.742,0.705,0.908,1.0,0.108,0.357,0.628,0.34,0.298
10,sndt,-0.361,-0.417,0.314,0.269,0.181,-0.325,0.219,0.221,0.122,0.108,1.0,-0.483,-0.014,-0.525,-0.499
11,alpha,0.402,0.501,-0.367,-0.33,-0.417,0.657,0.14,0.13,0.347,0.357,-0.483,1.0,0.432,0.95,0.711
12,mean_log_rt,-0.209,-0.048,0.145,0.173,-0.158,0.817,0.481,0.477,0.621,0.628,-0.014,0.432,1.0,0.467,0.413
13,alpha_arc_box,0.371,0.477,-0.364,-0.338,-0.406,0.709,0.104,0.089,0.305,0.34,-0.525,0.95,0.467,1.0,0.763
14,acc_arc_box,0.628,0.745,-0.646,-0.624,-0.331,0.783,0.075,0.131,0.281,0.298,-0.499,0.711,0.413,0.763,1.0
