,Average MI (bits),MI Ratio (%),Correlation (r),R-squared,Corr Ratio (%),MI p-value,Corr p-value
a_mean,1.1691783474875055,100.0,0.8057147933593296,0.6491763282380673,100.0,0.000999000999000999,1.9208650404576877e-30
v2_mean,0.8249793737280255,70.56060997886739,0.7250086406823862,0.5256375290641214,89.9832852341647,0.000999000999000999,3.8237506780769144e-22
ndt1_mean,0.8213872041821959,70.25337117705848,0.5580981949440328,0.3114735951997876,69.2674628223109,0.000999000999000999,7.69085147708573e-12
v3_mean,0.8016004750285619,68.56100925501687,0.7100751993390346,0.5042067887163697,88.12984510045578,0.000999000999000999,6.313198264817679e-21
v1_mean,0.6690548222163317,57.22435962435421,0.6975958046698402,0.4866399066929618,86.58098503582136,0.000999000999000999,5.759334950111116e-20
alpha_mean_boxcox_after_arcsin,0.6628718864863323,56.69553220095159,0.6949431891065183,0.48294603608553804,86.25175990737833,0.000999000999000999,9.081193345743255e-20
ndt2_mean,0.6561451642144464,56.12019463279175,0.557659394254533,0.3109840000003327,69.2130017781404,0.000999000999000999,8.049125730575597e-12
alpha_mean,0.6229015896893562,53.27686670112687,0.7139295736896969,0.5096954361887523,88.60822459434493,0.000999000999000999,3.1144830556505664e-21
ndt3_mean,0.5580125236951662,47.72689512205745,0.6372082862366953,0.4060344000487063,79.08608498795623,0.000999000999000999,6.148114881550476e-16
v4_mean,0.5239504146993539,44.813557813937635,0.6715003385086964,0.4509127046172938,83.34218808481319,0.000999000999000999,4.1420511569799195e-18
ndt4_mean,0.3608291598413751,30.86177233924794,0.5324732475145186,0.2835277593186578,66.08706354942751,0.000999000999000999,9.861940984190309e-11
